team,opponent,home_away,round,date,status,total_shots,shots_on_target,fouls,offsides,goal_kicks,throw_ins,hit_woodwork,yellow_cards,red_cards,total_cards,corners,opp_total_shots,opp_shots_on_target,opp_fouls,opp_offsides,opp_goal_kicks,opp_throw_ins,opp_hit_woodwork,opp_yellow_cards,opp_red_cards,opp_total_cards,opp_corners
olympique,Olympique Lyonnais,away,18,2025-01-18 20:05:00,Ended,13,4,8,3,8,15,0,0,0,0,5,11,3,8,2,5,17,0,1,0,1,8
olympique,Nantes,away,19,2025-01-26 16:15:00,Ended,15,4,11,3,4,15,1,1,0,1,8,7,5,14,2,7,16,0,3,0,3,4
olympique,Olympique de Marseille,away,20,2025-02-02 19:45:00,Ended,10,4,10,2,10,13,0,1,0,1,2,20,11,13,0,4,11,0,4,0,4,6
olympique,Olympique Lyonnais,away,21,2025-02-09 14:00:00,Ended,9,2,12,0,5,15,0,2,1,3,6,15,9,10,0,6,12,0,2,0,2,6
olympique,Montpellier,away,22,2025-02-16 14:00:00,Ended,9,6,12,0,10,21,0,1,0,1,4,11,4,14,2,3,19,0,3,0,3,7
olympique,Olympique Lyonnais,away,23,2025-02-23 19:45:00,Ended,15,8,8,1,4,15,0,1,0,1,4,14,7,12,4,8,11,0,1,0,1,5
olympique,Olympique Lyonnais,away,24,2025-03-02 14:00:00,Ended,15,5,12,2,9,12,0,1,0,1,5,10,4,16,0,7,22,0,2,0,2,2
olympique,Nice,away,25,2025-03-09 19:45:00,Ended,8,5,11,0,8,18,0,2,0,2,2,18,4,12,0,4,17,1,1,0,1,9
olympique,Olympique Lyonnais,away,26,2025-03-16 14:00:00,Ended,14,5,12,0,6,11,0,3,0,3,1,16,7,20,2,6,18,1,2,0,2,4
olympique,RC Strasbourg,away,27,2025-03-28 19:45:00,Ended,16,11,15,2,3,16,1,2,0,2,5,14,7,12,0,5,19,0,2,0,2,6
olympique,Olympique Lyonnais,away,28,2025-04-05 19:05:00,Ended,10,4,14,1,5,15,0,2,0,2,3,10,4,15,1,3,17,0,3,0,3,1
olympique,Auxerre,away,29,2025-04-13 18:45:00,Ended,13,7,9,5,11,15,1,2,0,2,6,14,3,11,1,7,14,0,3,0,3,3
olympique,Saint-Étienne,away,30,2025-04-20 18:45:00,Ended,14,2,13,3,8,24,2,4,0,4,6,18,6,12,2,4,14,1,3,0,3,8
olympique,Olympique Lyonnais,away,31,2025-04-26 19:05:00,Ended,10,4,8,2,3,19,0,0,0,0,2,14,8,12,7,7,14,2,0,0,0,7
olympique,Olympique Lyonnais,away,32,2025-05-04 15:15:00,Ended,8,3,12,0,17,13,0,3,0,3,2,18,4,8,1,4,26,0,2,0,2,8
olympique,AS Monaco,away,33,2025-05-10 19:00:00,Ended,9,4,18,3,8,14,0,4,0,4,5,11,5,16,0,3,14,0,2,0,2,3
olympique,Olympique Lyonnais,away,34,2025-05-17 19:00:00,Ended,13,3,13,0,12,11,0,3,0,3,8,21,4,10,1,3,15,2,1,0,1,8
